team,pass_reliability,pass_under_pressure,shot_conversion,xg_per_shot,ball_retention,pressure_success,pressure_aggression
Manchester City,81,70,11,10,97,48,40
Manchester City WFC,82,76,14,13,97,44,48
Manchester United,78,71,11,10,97,44,43
Marseille,81,72,9,10,97,41,43
Mauritania,69,68,6,7,96,37,37
Metz,76,54,0,12,96,29,32
Mexico,79,72,4,8,97,42,40
Middlesbrough,75,67,7,9,97,31,40
Montpellier,77,69,12,10,97,40,40
Morocco,81,74,10,12,97,36,37
Morocco Women's,60,55,7,11,95,31,42
Mozambique,81,68,14,9,97,45,36
Mumbai City,77,72,12,10,97,55,40
Málaga,71,66,8,9,97,44,36
Namibia,68,62,3,11,96,39,42
Nantes,75,69,7,8,97,37,40
Napoli,84,76,12,10,98,40,43
Nashville SC,79,71,0,8,98,28,28
Netherlands,83,72,14,12,98,40,39
Netherlands Women's,79,72,13,10,97,40,44
New York Red Bulls,81,77,0,9,97,34,46
New Zealand Women's,68,62,2,9,96,41,40
Newcastle United,75,66,11,10,96,42,36
Nigeria,75,72,11,14,97,34,40
Nigeria Women's,65,60,7,10,96,40,38
NJ/NY Gotham FC,69,70,10,13,97,42,39
North Carolina Courage,69,67,11,13,97,48,46
North Macedonia,81,72,6,11,96,47,34
NorthEast United,71,67,9,9,96,54,37
Northern Ireland,67,47,6,6,95,38,36
Norway Women's,76,68,12,12,97,38,42
Norwich City,72,65,9,9,97,44,36
NY Cosmos,82,78,8,9,97,46,37
Odisha,74,66,13,10,96,50,36
OGC Nice,83,74,13,11,98,36,40
OL Reign,68,69,10,12,97,46,42
Orlando Pride,69,71,7,12,97,49,42
Osasuna,66,62,7,8,96,31,34
Palermo,73,67,9,9,96,37,38
Panama,80,76,9,8,98,33,38
Panama Women's,62,52,12,8,94,40,38
Panathinaikos,74,66,0,6,96,66,36
Paraguay,79,70,7,7,97,39,43
Paris Saint-Germain,89,81,16,14,98,40,41
Peru,77,70,5,7,97,36,36
Philippines Women's,57,55,9,5,95,28,41
Poland,79,72,9,11,97,34,36
Poland Women's,70,60,9,8,96,33,38
Portland Thorns,69,74,14,14,97,58,38
Portsmouth,64,63,9,11,94,33,38
Portugal,86,76,13,13,98,41,40
Portugal Women's,75,68,8,10,96,42,44
Qatar,81,70,5,7,98,40,30
Racing Santander,70,64,5,9,96,27,34
Rayo Vallecano,75,69,9,10,97,41,42
RB Leipzig,83,72,17,12,98,35,38
RC Deportivo La Coruña,73,67,9,9,97,38,36
Reading WFC,71,69,10,10,96,52,43
Real Betis,74,68,11,10,97,40,36
Real Madrid,83,76,14,11,98,38,38
Real Murcia CF,76,79,14,10,98,28,44
Real Sociedad,75,68,10,10,97,39,38
Real Valladolid,74,70,4,7,96,35,35
Real Zaragoza,72,72,10,10,96,32,34
Recreativo Huelva,71,68,5,9,96,40,33
Rennes,79,70,12,10,97,38,39
Republic of Ireland Women's,71,60,4,8,96,29,45
River Plate,75,61,3,10,96,46,48
Romania,75,62,11,9,97,34,35
Russia,72,67,23,17,97,31,36
Saint-Étienne,75,65,9,10,97,37,42
Sampdoria,78,71,10,9,97,37,39
Sassuolo,76,68,10,9,97,39,42
Saudi Arabia,80,78,8,10,97,43,38
Schalke 04,79,70,10,9,97,38,39
Scotland,78,67,3,8,97,35,38
Scotland Women's,77,77,16,9,96,45,38
Seattle Sounders,77,95,4,7,95,34,40
Senegal,78,69,16,13,97,33,40
Serbia,80,69,9,10,98,31,40
Sevilla,76,67,10,12,97,38,36
Slovakia,82,67,7,7,98,30,36
Slovenia,72,61,5,14,98,27,33
South Africa,81,75,19,21,97,40,38
South Africa Women's,63,63,9,9,95,36,39
South Korea,79,72,10,8,97,32,37
Southampton,75,67,10,10,97,43,38
Soviet Union U20,71,62,9,4,96,46,34
Spain,89,83,12,14,98,38,46
Spain Women's,84,78,10,11,98,51,51
Sporting Gijón,70,63,10,11,97,41,36
Stade Brestois,82,76,8,13,97,22,40
Stade de Reims,75,68,9,10,96,40,40
Stoke City,77,70,9,9,97,46,36
Strasbourg,86,80,10,9,98,21,40
Sunderland,69,63,10,9,97,40,36
Swansea City,79,72,9,9,97,40,38
Sweden,72,65,11,12,97,30,35
Sweden Women's,74,64,14,15,96,43,44
Switzerland,83,76,15,14,98,32,38
Switzerland Women's,77,66,9,9,96,40,39
Tanzania,83,72,8,4,98,33,35
Tenerife,67,66,6,10,96,24,38
Thailand Women's,62,70,8,4,94,38,26
Torino,79,68,10,10,97,36,38
Toronto FC,87,84,0,10,96,34,34
Tottenham Hotspur,78,71,10,9,97,43,42
Tottenham Hotspur Women,73,65,8,10,96,43,41
Toulouse,73,65,10,11,96,38,41
Troyes,77,69,7,8,97,37,38
Tunisia,78,73,7,10,97,32,40
Turkey,83,74,8,8,98,36,36
Udinese,72,63,7,10,97,36,38
Ukraine,85,72,9,10,98,32,36
Union Berlin,77,72,0,5,97,29,34
United States,80,72,8,10,97,43,38
United States Women's,75,70,15,14,97,54,44
Uruguay,78,68,13,13,97,37,39
Utah Royals,73,73,11,10,97,46,40
Valencia,76,68,11,11,97,33,38
Venezuela,78,67,16,16,97,46,40
VfB Stuttgart,73,63,10,11,97,32,44
Vietnam Women's,58,52,0,4,95,24,34
Villarreal,76,70,12,11,97,39,36
Wales,75,65,8,11,97,32,35
Washington Spirit,68,70,3,9,97,41,40
Watford,71,63,8,10,97,44,36
Werder Bremen,70,64,11,11,96,39,39
West Bromwich Albion,68,61,8,10,96,42,36
West Ham United,76,67,11,10,97,51,36
West Ham United LFC,69,66,11,11,96,45,41
WNT Finland,76,69,8,7,96,35,40
Wolfsburg,82,74,9,9,98,42,38
Wolverhampton Wanderers,66,59,5,7,96,37,38
Xerez,64,57,7,8,95,43,34
Yeovil Town LFC,56,59,8,9,95,39,38
Zambia,83,73,8,5,98,31,34
Zambia Women's,64,57,12,9,94,35,42
